File name: osso25_p1_intacto_10MHz_rep1_med3.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:27

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:   4,27 dB/MHz
AIB: -17,81 dB
IRC:  -3,72 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 34,9us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-22,846521	-5,837961
-22,512541	-6,052771
-22,178562	-6,158861
-21,844582	-6,168906
-21,510602	-6,097660
-21,176622	-5,960216
-20,842642	-5,770684
-20,508662	-5,541422
-20,174683	-5,282748
-19,840703	-5,003000
-19,506723	-4,708766
-19,172743	-4,405206
-18,838763	-4,096377
-18,504783	-3,785525
-18,170804	-3,475351
-17,836824	-3,168228
-17,502844	-2,866378
-17,168864	-2,572019
-16,834884	-2,287476
-16,500904	-2,015250
-16,166925	-1,758049
-15,832945	-1,518764
-15,498965	-1,300377
-15,164985	-1,105797
-14,831005	-0,937619
