Run ID,Name,Source Type,Source Name,User,Status,alpha,batch_size,cutoff,lr,num_epochs,run_time,D_loss,G_loss
cb3b8f1c1e7949a99053acbc14a18478,0097,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.7799999999999999,0.0001,100,36.95640420913696,0.6612658500671387,0.46390020847320557
22e0200b6d9844fd8f2cbb7d2a920e70,0095,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.76,0.0001,100,58.12255382537842,0.6456592679023743,0.5583565143438486
e699318e30874164b66501bd68495337,0043,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,16,0.7899999999999999,0.0001,50,53.91032123565674,0.7025068998336792,0.5650360956788063
42b03f1cdb7e4fd0acd88a5cd4ab5d2d,0093,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.74,0.0001,100,87.45074892044067,0.6143500804901123,0.5711586117744446
1962cdf1342a4e788be6b75c2b1ac90a,0130,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.001,32,0.7,0.0001,100,473.94072818756104,0.5940249562263489,0.5758852242407474
16f08d32e3d24a3f840fe1be2ceb1563,0063,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.77,0.0001,50,24.032474994659424,0.5820870399475098,0.5792954325675964
5086084b3a434d81be9e8e7b09677f36,0077,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,16,0.7999999999999999,0.0001,100,75.15778040885925,0.6353262662887573,0.5852111613049227
b50446027aa64281919e6c88a59c5124,0143,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.001,64,0.72,0.0001,200,262.89918422698975,0.6897721886634827,0.5853179852167766
15b018e37cda4cc6871836e096998443,0243,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.01,64,0.74,0.0001,100,90.12738680839539,0.7155425548553467,0.586079053580761
0c3e8bca73d24376a9f7fa5365bf9a2e,0059,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.73,0.0001,50,55.54272699356079,0.6012901663780212,0.589706791639328
856149a74e0c4a29a2accfdf205ebafa,0008,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.72,0.0001,25,34.14075684547424,0.6248010993003845,0.5940433671077092
d30141f7817c49a4af194a89759668c8,0089,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.7,0.0001,100,186.83649682998657,0.534220814704895,0.5944559668952768
4f0b1bda18054b98972953b0762bab48,0096,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.77,0.0001,100,45.34431171417236,0.662168562412262,0.5958392798900605
45732c22cad24220991b3d2448d5b9d6,0081,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.73,0.0001,100,218.90419363975525,0.6107102036476135,0.5993669539690017
34917066f2a34577bea2533584ca1136,0251,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.01,64,0.72,0.0001,200,263.0257148742676,0.5822925567626953,0.6001877466837565
1279017143b04f9b872e2f14712fc26b,0239,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.01,32,0.72,0.0001,100,269.1627037525177,0.5916382670402527,0.600534055630366
6b6f7cfc06ef4ad598afdec02a4cff82,0083,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.75,0.0001,100,145.90744519233704,0.5731731057167053,0.6028203747489236
41367a967a31413da84a53e375cd24cc,0005,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.72,0.0001,25,68.00071549415588,0.6808027625083923,0.6048712243636449
18dfc47cfc0d4ac58244225ca122fd14,0056,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.7,0.0001,50,95.1522479057312,0.6496376991271973,0.6056638211011887
aee555ede5f74009b79f0295467c0284,0010,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,16,0.7899999999999999,0.0001,25,28.560420274734497,0.689615527788798,0.606042891740799
cead53067087420ab7b020aaab14a766,0064,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.7799999999999999,0.0001,50,20.09857940673828,0.6055887341499329,0.6077084913849831
e431055eaa0d43fda50fb0a0d698445e,0098,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.7899999999999999,0.0001,100,28.604504823684692,0.4779188930988312,0.6088822682698568
30139b285ab04c1ca76c4bcaaad5b13d,0027,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.74,0.0001,25,24.010477304458618,0.6042751669883728,0.6102063104510307
8acb7b148b7b4d269d357c101aecdeec,0053,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.7799999999999999,0.0001,50,37.76688480377197,0.638007402420044,0.6119262874126434
940b06e5e9ae497e9e5ef8ee76125ad9,0050,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.75,0.0001,50,73.96266746520996,0.6054290533065796,0.6121420950600596
d061b8d5a6a54bf4b6779a7c782f907c,0054,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,32,0.7899999999999999,0.0001,50,29.21865677833557,0.6758564114570618,0.6130094180504481
681fa931c0794739a1e55cfd849c0e68,0029,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.76,0.0001,25,16.613789558410645,0.6239600777626038,0.6134831721966083
cda4584120f94d29af4cde7095ed85eb,0094,LOCAL,GAN.py,lucas.barbosa,FINISHED,0.0001,64,0.75,0.0001,100,70.44969391822815,0.6172358393669128,0.6140030808746815
