File name: osso23_p1_intacto_10MHz_rep1_med2.txt
Dia: terça-feira, 18 de fevereiro de 2020
Hora: 13:23

Frequency (min) -6dB: 7,86MHz
Frequency (central): 8,75MHz
Frequency (max) -6dB: 9,84MHz
FSAB:  -2,56 dB/MHz
AIB: -23,58 dB
IRC: -18,76 dB
Frequency (superior limit): 12,00MHz
Reflection duration: 982,1ns
Backscatter duration: 2,0us
Sample (initial): 34,3us
Reference (initial): 46,9us
dF (PDS): 78,1kHz

ABTF	Linear regression
-22,514619	-21,725303
-22,714505	-22,054683
-22,914391	-22,400678
-23,114276	-22,751050
-23,314162	-23,087676
-23,514048	-23,385112
-23,713934	-23,610220
-23,913820	-23,724406
-24,113705	-23,689874
-24,313591	-23,479308
-24,513477	-23,084950
-24,713363	-22,521471
-24,913248	-21,820629
-25,113134	-21,021412
-25,313020	-20,161239
-25,512906	-19,271141
-25,712792	-18,374618
-25,912677	-17,488583
-26,112563	-16,624994
-26,312449	-15,792441
-26,512335	-14,997397
-26,712220	-14,245083
-26,912106	-13,539999
-27,111992	-12,886173
-27,311878	-12,287193
